id,title,release_date,vote_average,overview,genre_ids,year,month
122,O Senhor dos Anéis: O Retorno do Rei,2003-12-17,8.492,"O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra Média se aproxima. Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf e Pippin partam para o local na intenção de ajudar a resistência. Um exército é reunido por Theoden em Rohan, em mais uma tentativa de deter as forças de Sauron. Enquanto isso, Frodo, Sam e Gollum seguem sua viagem rumo à Montanha da Perdição para destruir o anel.","[12, 14, 28]",2003,12
680,Pulp Fiction: Tempo de Violência,1994-09-10,8.486,"Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites. Enquanto isso, o pugilista Butch Coolidge se mete em apuros por ganhar uma luta que deveria perder.","[53, 80, 35]",1994,9
372058,Your name.,2016-08-26,8.479,"Mitsuha é a filha do prefeito de uma pequena cidade, mas sonha em tentar a sorte em Tóquio. Taki trabalha em um restaurante em Tóquio e deseja largar o seu emprego. Os dois não se conhecem, mas estão conectados pelas imagens de seus sonhos.","[16, 10749, 18]",2016,8
429,Três Homens em Conflito,1966-12-22,8.467,"Durante o auge da Guerra Civil, um misterioso pistoleiro vaga pela fronteira do oeste. Ele não possui um lar, lealdade ou companhia... Até que encontra dois estrangeiros, que são tão brutos e desapegados quanto ele. Unidos pelo destino, os três homens juntam suas forças para tentar encontrar uma fortuna em ouro roubado. Mas trabalho em equipe não é uma coisa natural para voluntariosos pistoleiros, e eles logo descobrem que seu maior desafio é concentrar-se em sua perigosa missão — e em manterem-se vivos — atravessando um país arrasado pela guerra.",[37],1966,12
157336,Interestelar,2014-11-05,8.465,"As reservas naturais da Terra estão chegando ao fim e um grupo de astronautas recebe a missão de verificar possíveis planetas para receberem a população mundial, possibilitando a continuação da espécie. Cooper é chamado para liderar o grupo e aceita a missão sabendo que pode nunca mais ver os filhos. Ao lado de Brand, Jenkins e Doyle, ele seguirá em busca de um novo lar.","[12, 18, 878]",2014,11
13,Forrest Gump: O Contador de Histórias,1994-06-23,8.462,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e o Caso Watergate, mas continua pensando no seu amor de infância, Jenny Curran.","[35, 18, 10749]",1994,6
769,Os Bons Companheiros,1990-09-12,8.452,"A história real de Henry Hill, um garoto meio irlandês e meio siciliano do Brooklyn que é adotado por gangsters do bairro ainda jovem e sobe na hierarquia de uma família da máfia sob a orientação de Jimmy Conway.","[18, 80]",1990,9
346,Os Sete Samurais,1954-04-26,8.5,"Um bando de bandidos aterroriza os habitantes de uma pequena cidade, saqueando-os periodicamente sem piedade. Para repelir estes ataques, os aldeões decidem contratar mercenários. Por fim, obtêm os serviços de 7 guerreiros, 7 samurais dispostos a defendê-los em troca apenas de abrigo e comida.","[28, 18]",1954,4
12477,Túmulo dos Vagalumes,1988-04-16,8.446,"Nos meses finais da Segunda Guerra Mundial, Seita, de 14 anos, e sua irmã Setsuko ficam órfãos após a morte da mãe durante um ataque aéreo em Kobe, no Japão. Após uma briga com a tia, eles se mudam para um abrigo antiaéreo abandonado. Sem parentes sobreviventes e com as rações de emergência esgotadas, Seita e Setsuko lutam para sobreviver.","[16, 18, 10752]",1988,4
637,A Vida é Bela,1997-12-20,8.441,"Durante a Segunda Guerra Mundial na Itália, o judeu Guido e seu filho Giosué são levados para um campo de concentração nazista. Afastado da mulher, ele tem que usar sua imaginação para fazer o menino acreditar que estão participando de uma grande brincadeira, com o intuito de protegê-lo do terror e da violência que os cercam.","[35, 18]",1997,12
550,Clube da Luta,1999-10-15,8.438,Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com regras rígidas onde lutam com outros homens cansados de suas vidas mundanas. Mas sua parceria perfeita é comprometida quando Marla chama a atenção de Tyler.,"[18, 53]",1999,10
14537,Harakiri,1962-09-15,8.434,"No século 18, o Japão não está mais em guerra e o país é governado com firmeza. Hanshiro Tsugumo, um dos muitos ronin (samurais errantes) desempregados, decide bater à porta do poderoso clã Ii. Recebido por Kageyu Saito, o intendente do clã, ele pede permissão para cometer suicídio por harakiri na residência. Tentando dissuadi-lo, Saito começa a lhe contar a história de Motome Chijiwa, outro ronin que também queria realizar o mesmo ritual no local.","[28, 18, 36]",1962,9
11216,Cinema Paradiso,1988-11-17,8.427,"Um diretor de cinema relembra como, em sua infância, se apaixonou pelo filmes no cinema de seu vilarejo e iniciou uma profunda amizade com o projetista.","[18, 10749]",1988,11
120,O Senhor dos Anéis: A Sociedade do Anel,2001-12-18,8.427,"Em uma terra fantástica e única, um hobbit recebe de presente de seu tio um anel mágico e maligno que precisa ser destruído antes que caia nas mãos do mal. Para isso, o hobbit Frodo tem um caminho árduo pela frente, onde encontra perigo, medo e seres bizarros. Ao seu lado para o cumprimento desta jornada, ele aos poucos pode contar com outros hobbits, um elfo, um anão, dois humanos e um mago, totalizando nove pessoas que formam a Sociedade do Anel.","[12, 14, 28]",2001,12
598,Cidade de Deus,2002-08-30,8.426,"Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.","[18, 80]",2002,8
667257,Cosas Imposibles,2021-06-17,8.425,"Matilde, uma mulher na casa dos sessenta e viveu com seu marido, Porfirio, desde os 15 anos, numa relação de violência e desprezo. Miguel, seu vizinho, um jovem com tino para negócios sente pena de Matilde e pouco a pouco criarão fortes laços de amizade, o que lhes ajudará a liberar-se de de suas antigas crenças e viver a vida que sempre quiseram.","[10751, 18]",2021,6
539,Psicose,1960-09-08,8.4,"Marion Crane é uma secretária que rouba 40 mil dólares da imobiliária onde trabalha para se casar e começar uma nova vida. Durante a fuga à carro, ela enfrenta uma forte tempestade, erra o caminho e chega em um velho hotel. O estabelecimento é administrado por um sujeito atencioso chamado Norman Bates, que nutre um forte respeito e temor por sua mãe. Marion decide passar a noite no local, sem saber o perigo que a cerca.","[27, 53, 9648]",1960,9
40096,O Auto da Compadecida,2000-09-15,8.417,"As aventuras dos nordestinos João Grilo, um sertanejo pobre e mentiroso, e Chicó, o mais covarde dos homens. Ambos lutam pelo pão de cada dia e atravessam por vários episódios enganando a todos do pequeno vilarejo de Taperoá, no sertão da Paraíba. A salvação da dupla acontece com a aparição da Nossa Senhora. Adaptação da obra de Ariano Suassuna.","[35, 18, 14, 10749]",2000,9
510,Um Estranho no Ninho,1975-11-19,8.412,"Randle Patrick McMurphy é um malandro que, após ser preso, se finge de louco para ir a um hospital psiquiátrico e assim esquivar-se a uma porção de trabalhos forçados na prisão. Lá ele começa a influenciar os outros internos e começa a sofrer oposição da cruel e sádica enfermeira Mildred Ratched. Com forte poder persuasivo, McMurphy instaura uma reviravolta na clínica, não sabendo o que isto pode lhe custar.",[18],1975,11
121,O Senhor dos Anéis: As Duas Torres,2002-12-18,8.411,"Após a captura de Merry e Pippy pelos orcs, a Sociedade do Anel é dissolvida. Frodo e Sam seguem sua jornada rumo à Montanha da Perdição para destruir o anel e descobrem que estão sendo perseguidos pelo misterioso Gollum. Enquanto isso, Aragorn, o elfo e arqueiro Legolas e o anão Gimli partem para resgatar os hobbits sequestrados e chegam ao reino de Rohan, onde o rei Theoden foi vítima de uma maldição mortal de Saruman.","[12, 14, 28]",2002,12
696374,O Inferno de Gabriel,2020-05-29,8.4,"O enigmático e atraente Professor Gabriel Emerson, renomado estudioso de Dante, é um homem atormentado por seu passado e orgulhoso do prestígio que conquistou, embora também tenha consciência de que é um ímã para o pecado e, principalmente, para a luxúria.","[10749, 18]",2020,5
255709,Esperança,2013-10-02,8.397,"A história de uma menina de 8 anos que enfrenta um estupro horrível que a danifica internamente e a afeta emocionalmente, tentando superar todos os obstáculos após o incidente com o bom apoio dos que a rodeiam.",[18],2013,10
311,Era Uma Vez na América,1984-05-23,8.396,"Depois de crescer no gueto judeu de Nova Iorque e se destacar no crime organizado da Era da Proibição, um gângster de idade retorna a Brooklyn para enfrentar seu passado.","[18, 80]",1984,5
324857,Homem-Aranha: No Aranhaverso,2018-12-06,8.395,"Miles Morales é um jovem negro do Brooklyn que se tornou o Homem-Aranha inspirado no legado de Peter Parker, já falecido. Entretanto, ao visitar o túmulo de seu ídolo em uma noite chuvosa, ele é surpreendido com a presença do próprio Peter, vestindo o traje do herói aracnídeo sob um sobretudo. A surpresa fica ainda maior quando Miles descobre que ele veio de uma dimensão paralela, assim como outras variações do Homem-Aranha.","[16, 28, 12, 878]",2018,12
1891,Guerra nas Estrelas: O Império Contra-Ataca,1980-05-20,8.393,"As forças imperais comandadas por Darth Vader lançam um ataque contra os membros da resistência, que são obrigados a fugir. Enquanto isso Luke Skywalker tenta encontrar o Mestre Yoda, que poderá ensiná-lo a dominar a ""Força"" e torná-lo um cavaleiro jedi. No entanto, Darth Vader planeja levá-lo para o lado negro da ""Força"".","[12, 28, 878]",1980,5
4935,O Castelo Animado,2004-09-09,8.389,"Sophie, uma jovem chapeleira, é transformada em uma mulher idosa por uma bruxa que entra em sua loja e a amaldiçoa. Ela encontra um mago chamado Howl e se vê envolvida em sua resistência em lutar pelo rei.","[14, 16, 12]",2004,9
378064,A Voz do Silêncio,2016-09-17,8.385,"Nishimiya Shouko é uma estudante com deficiência auditiva. Durante o ensino fundamental, após se transferir para uma nova escola, Shouko passa a ser alvo de bullying e em pouco tempo precisa se transferir. O que ela não esperava é que alguns anos depois, Ishida Shouya, um dos valentões que tanto a fez sofrer no passado surgisse de novo em sua vida com um novo propósito.","[16, 18, 10749]",2016,9
423,O Pianista,2002-09-17,8.4,"Um pianista judeu polonês vê Varsóvia mudar gradualmente à medida que a Segunda Guerra Mundial começa. Szpilman é forçado a ir para o Gueto de Varsóvia, mas depois é separado de sua família durante a Operação Reinhard. A partir deste momento até que os prisioneiros dos campos de concentração sejam liberados, Szpilman se esconde em vários locais entre as ruínas de Varsóvia.","[18, 10752]",2002,9
807,Seven - Os Sete Crimes Capitais,1995-09-22,8.378,"Quando, a ponto de se aposentar, o detetive William Somerset aborda o último caso com a ajuda do recém-transferido David Mills, eles descobrem uma série de assassinatos. Logo percebem que estão lidando com um assassino que tem como alvo pessoas que ele acredita representar os sete pecados capitais.","[80, 9648, 53]",1995,9
244786,Whiplash: Em Busca da Perfeição,2014-10-10,8.375,"Andrew sonha em ser o melhor baterista de sua geração. Ele chama a atenção do impiedoso mestre do jazz Terence Fletcher, que ultrapassa os limites e transforma seu sonho em uma obsessão, colocando em risco a saúde física e mental do jovem músico.","[18, 10402]",2014,10
27205,A Origem,2010-07-15,8.371,"Cobb é um ladrão habilidoso que comete espionagem corporativa infiltrando-se no subconsciente de seus alvos durante o estado de sono. Impedido de retornar para sua família, ele recebe a oportunidade de se redimir ao realizar uma tarefa aparentemente impossível: plantar uma ideia na mente do herdeiro de um império. Para realizar o crime perfeito, ele conta com a ajuda do parceiro Arthur, o discreto Eames e a arquiteta de sonhos Ariadne. Juntos, eles correm para que o inimigo não antecipe seus passos.","[28, 878, 12]",2010,7
770156,Um Anjo em Nossas Vidas,2020-10-19,8.37,"Quando um criminoso insensível e doente cruza o caminho de uma menina cheia de fé, uma segunda chance surge para tocar o coração durante a temporada de festas.","[18, 10751]",2020,10
724089,O Inferno de Gabriel - Parte 2,2020-07-31,8.4,"O professor Gabriel Emerson finalmente descobre a verdade sobre a identidade de Julia Mitchell, mas sua compreensão chega um momento tarde demais. Julia acabou de esperar que o respeitado especialista em Dante se lembrasse dela e não quer mais nada com ele. Gabriel pode reconquistar seu coração antes que ela encontre o amor nos braços de outra pessoa?","[10749, 18]",2020,7
761053,O Inferno de Gabriel - Parte 3,2020-11-19,8.36,"A parte final da adaptação para o cinema do romance erótico Gabriel's Inferno, escrito por um autor canadense anônimo sob o pseudônimo de Sylvain Reynard.","[10749, 18]",2020,11
1058694,Ensinamentos de Um Professor,2023-10-19,8.35,"Um professor numa cidade fronteiriça mexicana vítima de negligência, corrupção e violência, tenta um novo método radical para desbloquear a curiosidade, o potencial dos seus alunos - e talvez até a sua genialidade.",[18],2023,10
567,Janela Indiscreta,1954-09-01,8.348,"Em Greenwich Village, Nova York, L.B. Jeffries, um fotógrafo profissional, está de molho em seu apartamento por ter quebrado a perna enquanto trabalhava. Como não tem muito o que fazer, fica bisbilhotando a vida dos seus vizinhos com um binóculo. Porém vê algumas coisas que o fazem suspeitar que um assassinato foi cometido.","[53, 9648]",1954,9
274,O Silêncio dos Inocentes,1991-02-14,8.345,"Clarice Starling é uma das melhores estudantes da academia de treinamento do FBI. Jack Crawford quer que Clarice entreviste o Dr. Hannibal Lecter, um psiquiatra brilhante e também um psicopata violento, que cumpre prisão perpétua por vários atos de assassinato e canibalismo. Crawford acredita que Lecter pode ter uma visão em um caso e que Starling, como uma mulher jovem e atraente, pode ser a isca para atraí-lo.","[80, 53, 18]",1991,2
12493,Céu e Inferno,1963-03-01,8.343,"Em um momento crucial de sua vida financeira, Gondo, um executivo de uma empresa de calçados, recebe a notícia de que seu filho foi sequestrado, e o resgate exigido é uma quantia de dinheiro semelhante à que ele precisa para fechar um negócio importante. Gondo está disposto a pagar o resgate até perceber que os sequestradores cometeram um erro e levaram, na verdade, o filho do seu motorista. Agora ele precisa decidir se o dinheiro é mais importante do que a vida do garoto.","[18, 80]",1963,3
569094,Homem-Aranha: Através do Aranhaverso,2023-05-31,8.338,"Miles Morales retorna para o próximo capítulo da saga do Aranhaverso, uma aventura épica que transportará o Homem-Aranha em tempo integral e amigável do bairro do Brooklyn através do Multiverso para unir forças com Gwen Stacy e uma nova equipe de Homens-Aranha para enfrentar com um vilão mais poderoso do que qualquer coisa que eles já encontraram.","[16, 28, 12, 878]",2023,5
73,A Outra História Americana,1998-07-01,8.33,"Derek busca vazão para suas agruras tornando-se líder de uma gangue de racistas. A violência o leva a um assassinato, e ele é condenado pelo crime. Três anos mais tarde, ele sai da prisão e tem que convencer seu irmão, que está prestes a assumir a liderança do grupo, a não trilhar o mesmo caminho.",[18],1998,7
128,Princesa Mononoke,1997-07-12,8.324,"Um príncipe infectado por uma doença sabe que irá morrer, a menos que encontre a cura. Sendo a sua última esperança, segue para o leste e, durante o caminho, encontra animais da floresta lutando contra a sua exploração, liderados pela princesa Mononoke.","[12, 14, 16]",1997,7
620249,A Lenda de Hei,2019-08-27,8.323,"Depois que o avanço dos humanos destrói a floresta onde ele vive, um espírito felino chamado Hei embarca numa jornada para encontrar um novo lar.","[16, 14, 28]",2019,8
820067,The Quintessential Quintuplets: O Filme,2022-05-20,8.322,Chega a época do festival escolar que marca também um dos últimos eventos do 3º ano do ensino médio. Fuutarou usa este evento para entregar uma resposta que as quíntuplas aguardam há muito tempo: quem é a escolhida dele.,"[16, 35, 10749]",2022,5
105,De Volta para o Futuro,1985-07-03,8.322,"Marty McFly, um típico adolescente americano dos anos 80, acidentalmente é enviado de volta ao ano de 1955 em um carro modificado para ser uma máquino do tempo, inventada por um cientista louco. Durante sua fantástica e maluca viagem no tempo, McFly tem que fazer com que seus futuros pais se encontrem e se apaixonem, para que assim ele possa ir de volta para o futuro.","[12, 35, 878]",1985,7
3782,Viver,1952-10-09,8.319,"Kanji Watanabe é um homem de meia-idade que trabalha no mesmo cargo burocrático e monótono há décadas. Ao descobrir que tem câncer, ele começa a procurar o sentido de sua vida.",[18],1952,10
1184918,Robô Selvagem,2024-09-12,8.318,"Um robô – unidade ROZZUM 7134, abreviadamente “Roz” – naufraga em uma ilha desabitada e deve aprender a se adaptar ao ambiente hostil, gradualmente construindo relacionamentos com os animais da ilha e se tornando o pai adotivo de um filhote de ganso órfão.","[16, 878, 10751, 12, 18]",2024,9
372754,Colegas de Classe,2016-02-20,8.3,"A história começa numa aula de música quando, durante o ensaio do coral para o festival escolar, Hikaru Kusakabe percebe que o estudante de honra da escola, Rihito Sajō, não está cantando. De início, ele pensa que o estudante simplesmente não gosta de cantar, até encontrar Rihito ensaiando numa sala vazia na escola. Sem pensar duas vezes, Kusakabe decide ajudar o colega a ensaiar o canto.","[10749, 16]",2016,2
207,Sociedade dos Poetas Mortos,1989-06-02,8.302,"Em 1959 na Welton Academy, uma tradicional escola preparatória, um ex-aluno se torna o novo professor de literatura, mas logo seus métodos de incentivar os alunos a pensarem por si mesmos cria um choque com a ortodoxa direção do colégio, principalmente quando ele fala aos seus alunos sobre a ""Sociedade dos Poetas Mortos"".",[18],1989,6
10494,Perfect Blue,1998-02-28,8.299,"Mima Kirigoe é membro de uma banda de música pop japonesa (J-Pop), chamada ""CHAM!"", que decide deixar a banda para se dedicar à carreira de atriz. Alguns fãs ficam descontentes com a repentina mudança de carreira, pois Mima, sendo um ídolo pop, é vista como uma menina inocente e angelical. Conforme avança em sua nova carreira, Mima mergulha em um intenso drama psicológico no qual fantasia e realidade se confundem colocando em dúvida sua ética moral.","[16, 53]",1998,2
101,O Profissional,1994-09-14,8.299,"Mathilda tem apenas 12 anos de idade mas já conhece o lado obscuro da vida: seu pai abusivo guarda drogas para policiais corruptos e a mãe a negligencia. O vizinho Léon gosta de cuidar de plantas, mas é um assassino de aluguel para o gângster Tony. Quando sua família é assassinada por um agente antidrogas desonesto, Mathilda se une a um relutante Léon para aprender o negócio mortal e vingar a morte da família.","[80, 18, 28]",1994,9
533514,Violet Evergarden: O Filme,2020-09-18,8.295,"Vários anos se passaram desde o fim da Grande Guerra. À medida que a torre de rádio em Leidenschaftlich continua a ser construída, os telefones logo se tornarão mais relevantes, levando a um declínio na demanda por ""Autômatas da Auto-memória"". Mesmo assim, Violet Evergarden continua ganhando fama após seu sucesso constante com a escrita de cartas. No entanto, às vezes, a única coisa que você deseja é uma coisa que não aparece. Violet Evergarden Movie segue Violet enquanto ela continua a compreender o conceito de emoção e o significado do amor. Ao mesmo tempo, ela busca um vislumbre de esperança de que o homem que uma vez disse a ela: ""Eu te amo"", possa ainda estar vivo, mesmo depois de tantos anos que se passaram.","[16, 14, 10749, 18]",2020,9
15804,Um Dia Quente de Verão,1991-07-27,8.3,"Baseado em uma história verídica sobre um conflito entre duas gangues de jovens, a namorada de um garoto de 14 anos entra em conflito com o chefe de uma gangue por uma razão pouco clara, até que finalmente o conflito atinge um clímax violento.","[80, 18, 10749]",1991,7
1218925,Chainsaw Man – O Filme: Arco da Reze,2025-09-19,8.3,"Denji trabalhava como Caçador de Demônios para a yakuza, tentando pagar a dívida que herdou de seus pais, até que um dia, ele é traído e morre. Em seus últimos momentos de consciência, ele forma um pacto com Pochita e essa fusão cria o Homem-Motosserra. Agora, em uma guerra brutal contra demônios, caçadores e inimigos secretos, uma garota misteriosa chamada Reze entrou em seu universo e Denji precisa enfrentar sua batalha mais perigosa até hoje, movido pelo amor em um mundo onde a sobrevivência não conhece regras.","[16, 28, 10749, 14]",2025,9
652837,"Josee, o Tigre e o Peixe",2020-12-25,8.292,"Depois de fazer amizade com um estudante de biologia marinha, uma artista sarcástica que vive com paraplegia começa a vivenciar o mundo além de sua casa.","[16, 18, 10749]",2020,12
914,O Grande Ditador,1940-10-15,8.289,"Depois de servir com dedicação na 1ª Guerra, um barbeiro judeu passa anos em um hospital do exército, sem saber da ascensão de um ditador fascista antissemita, que se parece muito com ele. Ao voltar para o seu bairro, ele fica atordoado com as mudanças brutais e se une a uma menina para se rebelar.","[35, 10752]",1940,10
599,Crepúsculo dos Deuses,1950-08-10,8.288,"Uma estrela veterana do cinema mudo se recusa a aceitar que seu reinado acabou. Então ela contrata um jovem roteirista para ajudá-la a reconquistar o sucesso. O escritor acredita que pode manipular a atriz, mas percebe que está redondamente enganado.",[18],1950,8
644479,Dedicada a Minha Ex,2019-11-01,8.3,"Ariel, um jovem de 21 anos, decide formar uma banda de rock para concorrer a um prêmio de dez mil dólares em um concurso de bandas musicais. Essa é a última opção para tentar conseguir dinheiro para salvar o relacionamento e reencontrar a ex-namorada, que termina devido à viagem que ela precisa fazer à Finlândia para um estágio. Ariel e seu amigo Ortega decidem fazer um teste para encontrar os outros membros da banda, embora eles não entendam nada de música, formando assim uma banda com membros de personalidades diversas e opostas.","[18, 35]",2019,11
42269,Nós Que Nos Amávamos Tanto,1974-12-21,8.285,"Três italianos, Gianni, Nicola e Antonio se tornam muito amigos durante o ano de 1944 enquanto combatem os nazistas. Cheio de ilusões, eles se estabelecem depois da guerra. Os três amigos idealistas precisam lidar com a inevitável desilusões da vida no pós-guerra da Itália.","[18, 35]",1974,12
3082,Tempos Modernos,1936-02-05,8.284,"Sujeito ao ritmo de produção infernal da fábrica, o Vagabundo tem um súbito colapso nervoso. Do hospital, ele vai para a prisão e fica desempregado, sempre cercado pela industrialização moderna. Certo dia, ele se depara com uma menina órfã.","[35, 18, 10749]",1936,2
335,Era uma Vez no Oeste,1968-12-21,8.283,"Enquanto os construtores ferroviários marcham imparavelmente através do deserto de Arizona a caminho do mar, Jill chega à pequena cidade de Flagstone com a intenção de começar uma nova vida.","[18, 37]",1968,12
1139087,Era uma vez um Estúdio,2023-09-24,8.3,Um reencontro inesquecível de personagens adorados dos 100 anos da Disney Animation.,"[16, 10751, 14, 35]",2023,9
1356039,Contra-Ataque,2025-02-27,8.277,"Uma missão de resgate faz surgir um novo inimigo, levando o capitão Guerrero e seus soldados de elite a enfrentar uma emboscada de um grupo criminoso.","[28, 12, 53]",2025,2
1585,A Felicidade Não Se Compra,1946-12-20,8.275,"Em Bedford Falls, no Natal, George Bailey, que sempre ajudou a todos, pensa em se suicidar saltando de uma ponte, em razão das maquinações de Henry Potter, o homem mais rico da região. Mas tantas pessoas oram por ele que Clarence, um anjo que espera há 220 anos para ganhar asas, é mandado à Terra para tentar fazer George mudar de ideia, mostrando sua importância para todos através de flashbacks.","[18, 10751, 14]",1946,12
77338,Intocáveis,2011-11-02,8.271,"Quando um ex-presidiário é contratado para cuidar de um aristocrata francês, seu novo trabalho se torna uma aventura imprevisível. Acelerar uma Maserati em Paris, seduzir mulheres, e fazer parapente sobre os Alpes é apenas o começo, pois ele vira o mundo da classe alta de Paris de cabeça para baixo.","[18, 35]",2011,11
18491,Neon Genesis Evangelion: O Fim do Evangelho,1997-07-19,8.269,"Um final alternativo para a série de anime ""Neon Genesis Evangelion"". Em The End of Evangelion, A SEELE ordena um ataque à NERV para destruir os EVAs antes que Gendo consiga provocar o Terceiro Impacto e a união das almas humanas.","[16, 878, 18, 14]",1997,7
1186532,A Forja – O Poder da Transformação,2024-08-22,8.268,"Um ano depois de encerrar o ensino médio, o jovem Isaías Wright não tem planos para o futuro e é desafiado por sua mãe solo e um empresário de sucesso a começar a traçar um rumo melhor para sua vida. Ele passa a ser discipulado pelo seu novo mentor, conta com orações de sua mãe e de uma guerreira de orações, Dona Clara, e começa a descobrir o propósito de Deus para sua vida.","[18, 10751]",2024,8
92321,Into the Forest of Fireflies' Light,2011-09-17,8.268,"A história se foca em uma pequena garota chamada Hotaru. Ela se perde em uma floresta popularmente conhecida por ser habitada por espíritos. Lá, Hotaru se depara com um jovem usando uma máscara de raposa. Ele se diz um espírito amaldiçoado que desaparecerá se um humano o tocar.","[10749, 16, 14]",2011,9
